id,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
5150943,coldwell banker caine,cbcaine.com,1933.0,real estate,201 - 500,"greenville, south carolina, united states",united states,linkedin.com/company/coldwell-banker-caine,211,322
1798346,cedaspy mnb,cedaspy.com.br,,professional training & coaching,201 - 500,,,linkedin.com/company/cedaspy,141,338
3299343,corporacion miyasato,miyasato.com.pe,,automotive,201 - 500,,,linkedin.com/company/corporacion-miyasato,111,288
3833061,cope plastics,copeplastics.com,1946.0,plastics,201 - 500,"alton, illinois, united states",united states,linkedin.com/company/cope-plastics,136,271
2702413,benetton,benetton.com,,apparel & fashion,501 - 1000,"gurgaon, haryana, india",india,linkedin.com/company/benetton_2,213,657
3787095,collège ahuntsic,collegeahuntsic.qc.ca,1967.0,higher education,501 - 1000,"montréal, quebec, canada",canada,linkedin.com/company/college-ahuntsic,350,685
4602836,"tei - tusaş engine industries, inc.",tei.com.tr,1985.0,aviation & aerospace,1001 - 5000,"eskisehir, eskisehir, turkey",turkey,linkedin.com/company/tei,630,1549
4519528,nyack hospital,nyackhospital.org,,hospital & health care,501 - 1000,"nyack, new york, united states",united states,linkedin.com/company/nyack-hospital,430,841
5563948,accell group,accell-group.com,,consumer goods,201 - 500,"heerenveen, friesland, netherlands",netherlands,linkedin.com/company/accell-group,157,374
6015119,jabil green point,,,electrical/electronic manufacturing,201 - 500,"sungai petani, kedah, malaysia",malaysia,linkedin.com/company/jabil-green-point,131,204
1664425,botswana police service,,,law enforcement,201 - 500,"madrid, madrid, spain",spain,linkedin.com/company/botswana-police-service,110,156
6691524,gloria nilson & co. real estate,glorianilson.com,1977.0,real estate,1001 - 5000,"red bank, new jersey, united states",united states,linkedin.com/company/gloria-nilson-co,518,677
4711818,nepal bank limited,,,financial services,201 - 500,,,linkedin.com/company/nepal-bank-limited,148,299
5563744,magic memories,magicmemories.com,1995.0,"leisure, travel & tourism",1001 - 5000,"queenstown, otago, new zealand",new zealand,linkedin.com/company/magic-memories,335,988
337179,enphase energy,enphase.com,2006.0,renewables & environment,501 - 1000,"petaluma, california, united states",united states,linkedin.com/company/enphase-energy,255,708
